Form,Type,Mentions,Entity,Metadata
Achille,MISC,1,?,
Adolphe,PER,1,Adolphe,Title: Madame Bovary
Agnès Sorel,PER,1,Agnès Sorel,Annotator: Arthur Amalvy
Amanda,PER,1,Berthe Bovary,Guidelines: v1.0.0
Amboise,LOC,1,?,
Amboise,MISC,1,?,
Ambroise Paré,PER,1,Ambroise Paré,Updated: 2024/12/22
Amiens,LOC,1,?,
amiral de France,PER,1,Jean-Antoine-Henry-Guy d’Andervilliers de la Vaubyessard,Comment:
Anacharsis,PER,1,Anacharsis,
Angleterre,LOC,3,?,
Annette,PER,1,Annette,
Argueil,LOC,3,?,
Artémise,PER,6,Artémise,
Arthur,PER,1,Arturo Bucklaw,
Ashton,PER,3,Enrico Ashton,
Atala,PER,1,Berthe Bovary,
Athalie,PER,8,Athalie Homais,
au bois Guillaume,LOC,1,?,
au château de la Vaubyessard,LOC,1,?,
au Cimetière monumental,LOC,1,?,
au collège de Rouen,LOC,1,?,
au Conseil général,ORG,1,?,
au couvent d ' Ernemont,LOC,1,?,
au docteur Larivière,PER,1,Docteur Larivière,
au Grand Sauvage,LOC,1,?,
au Lion d ' or,LOC,7,?,
au mont Gargan,LOC,1,?,
au père Guérin,PER,1,Monsieur Guerin,
au père Rouault,PER,2,Théodore Rouault,
au Seigneur,PER,1,Dieu,
au sieur Lheureux,PER,2,Monsieur Lheureux,
au théâtre de Rouen,LOC,1,?,
au Vaudreuil,LOC,1,?,
Aumale,LOC,1,?,
aux Bertaux,LOC,12,?,
aux Trois Frères,LOC,1,?,
aux Trois-Pipes,LOC,1,?,
Bade,LOC,1,?,
Balzac,PER,1,Honoré de Balzac,
Barcelone,LOC,1,?,
Barèges,LOC,1,?,
Barfeuchères,LOC,1,?,
Barneville,LOC,4,?,
baron de la Fresnaye,PER,1,Jean-Antoine-Henry-Guy d’Andervilliers de la Vaubyessard,
baron de Mauny,PER,1,Louis de Brézé,
Barthole,PER,1,Barthole de Saxoferrato,
Bautzen,LOC,1,?,
Bayard,PER,1,Pierre Terrail de Bayard,
Beauvais,LOC,1,?,
Béranger,PER,2,Pierre-Jean de Béranger,
Berlin,LOC,1,?,
Berthe,PER,22,Berthe Bovary,
Berthe Bovary,PER,1,Berthe Bovary,
Bichat,PER,1,Xavier Bichat,
Binet,PER,27,Monsieur Binet,
Bois,MISC,1,?,
bon Dieu,PER,1,Dieu,
Bon-Secours,LOC,1,?,
Bondeville,LOC,1,?,
Boudet,PER,1,Monsieur Boudet,
Boudet le charpentier,PER,1,Monsieur Boudet,
Boulle,MISC,1,?,
Bournisien,PER,7,Abbé Bournisien,
Bovary,PER,66,Charles Bovary,
Breda-street,MISC,1,?,
Bridoux,PER,7,Monsieur Bridoux,
Buchy,LOC,3,?,
Cadet de Gassicourt,PER,1,Charles-Louis Cadet de Gassicourt,
Café de Normandie,LOC,1,?,
Camus l ' épicier,PER,1,Monsieur Camus,
Canivet,PER,10,Docteur Canivet,
Cany,LOC,1,?,
Capucins,ORG,1,?,
Castellamare,LOC,1,?,
Catherine Leroux,PER,1,Catherine Leroux,
Catherine-Nicaise-Élisabeth Leroux,PER,2,Catherine Leroux,
ce quartier de Rouen,LOC,1,?,
Celse,PER,1,Aulus Cornelius Celsus,
Champagne,LOC,2,?,
Charbovari,PER,3,Charles Bovary,
Charles,PER,313,Charles Bovary,
Charles Bovary,PER,1,Charles Bovary,
Charles X,PER,1,Charles X de France,
chevalier de l ' ordre de Saint-Michel,PER,1,Jean-Antoine-Henry-Guy d’Andervilliers de la Vaubyessard,
Cincinnatus,PER,1,Lucius Quinctius Cincinnatus,
cité d ' Yonville,LOC,1,?,
Clara,PER,1,Berthe Bovary,
Clémence Isaure,PER,1,Clémence Isaure,
Cologne,LOC,2,?,
comte de la Vaubyessard,PER,1,Jean-Antoine-Henry-Guy d’Andervilliers de la Vaubyessard,
comte de Maulevrier,PER,1,Louis de Brézé,
comtesse de Brézé,PER,1,Diane de Poitiers,
Constantinople,LOC,1,?,
contrées de la Picardie,LOC,1,?,
Coutras,LOC,1,?,
Cujas,PER,1,Jacques Cujas,
Cullembourg,PER,1,Monsieur Cullembourg,
d ' Holbach,PER,1,"Paul-Henri Thiry, Baron d’Holbach",
Damoclès,PER,1,Damoclès,
Darcet,PER,1,Jean-Pierre Darcet,
de Coigny,PER,1,Monsieur de Coigny,
de Lauzun,PER,1,Monsieur de Lauzun,
Delille,PER,1,Jacques Delille,
demoiselles Lempereur,PER,1,Félicie Lempereur,
des Arabes,MISC,1,?,
des Bertaux,LOC,3,?,
des Botocudos,MISC,1,?,
des Caraïbes,MISC,1,?,
des États,MISC,1,?,
des îles Sandwich,LOC,1,?,
des Juifs,MISC,1,?,
Des Rouennais,MISC,1,?,
des Turcs,MISC,1,?,
des Yonvillais,MISC,2,?,
deux Robinsons,MISC,1,?,
Diane de Poitiers,PER,1,Diane de Poitiers,
Dieppe,LOC,4,?,
Dieu,PER,18,Dieu,
Dieu le Père,PER,1,Dieu,
Dioclétien,PER,1,Empereur Dioclétien,
Djali,PER,2,chien Djali,
Dodolphe,PER,1,Adolphe,
Doudeville,LOC,1,?,
du Béarnais,LOC,1,?,
du Bengale,LOC,1,?,
du bois Guillaume,LOC,2,?,
du Café Français,LOC,3,?,
du canton d ' Yonville,LOC,1,?,
du Christ,PER,1,Jésus Christ,
du comte d ' Artois,PER,1,Comte d’Artois,
du docteur Duval,PER,1,Docteur Duval,
du faubourg Saint-Germain,LOC,1,?,
du Lion d ' or,LOC,8,?,
du Midi,LOC,1,?,
du pays de Bray,LOC,1,?,
du pays de Caux,LOC,1,?,
du père Bovary,PER,1,Charles Denis Bartolomé Bovary,
du père Rouault,PER,1,Théodore Rouault,
du père Tellier,PER,1,Monsieur Tellier,
du Pollet,LOC,1,?,
du quartier Beauvoisine,LOC,2,?,
du quartier Saint-Gervais,LOC,1,?,
du Rhin,LOC,1,?,
du roi Louis XII,PER,1,Louis XII de France,
du Sauveur,PER,1,Dieu,
du Seigneur,PER,2,Dieu,
du sieur Homais,PER,1,Monsieur Homais,
du sieur Lheureux,PER,1,Monsieur Lheureux,
du sieur Tuvache,PER,4,Monsieur Tuvache,
Dubocage,PER,1,Maître Dubocage,
duc de Laverdière,PER,1,Duc de Laverdière,
duc de Normandie,PER,1,Richard Ier d’Angleterre,
duchesse de Valentinois,PER,1,Diane de Poitiers,
Dupuytren,PER,1,Guillaume Dupuytren,
Edgar,PER,3,Ténor Lagardy,
Edgar Lagardy,PER,1,Ténor Lagardy,
Emma,PER,369,Emma Bovary,
Érard,PER,1,Sébastien Érard,
Espagne,LOC,1,?,
État,ORG,1,?,
Eugène Sue,MISC,1,?,
Fahrenheit,PER,1,Daniel Gabriel Farenheit,
Félicie l ' Empereur,PER,1,Félicie Lempereur,
Félicité,PER,40,Félicité,
Ferronnière,PER,1,Lucrezia Crivelli,
Fils,PER,1,Dieu,
Forges,LOC,2,?,
France,LOC,2,?,
Franklin,PER,3,Franklin Homais,
Fribourg,LOC,1,?,
Galilée,PER,1,Galileo Galilei,
Galsuinde,PER,1,Berthe Bovary,
Gascon,MISC,1,?,
Gênes,LOC,1,?,
Gensoul,PER,1,Joseph Gensoul,
George Sand,PER,1,George Sand,
Georges,PER,1,Berthe Bovary,
Gilbert,PER,1,Gilbert,
Girard,PER,3,Girard,
Givry-Saint-Martin,LOC,1,?,
Goderville,LOC,1,?,
gouverneur de Normandie,PER,2,Pierre de Brézé,
grand maréchal de Poitou,PER,1,Pierre de Brézé,
Grisi,PER,1,Giulia Grisi,
Héloïse,PER,4,Héloïse Dubuc,
Henri IV,PER,1,Henri IV de France,
Hippocrate,PER,1,Hippocrate,
Hippolyte,PER,26,Hippolyte Tautain,
Hippolyte Tautain,PER,1,Hippolyte Tautain,
Hivert,PER,15,Monsieur Hivert,
Homais,PER,84,Monsieur Homais,
Ingouville,LOC,1,?,
Irma,PER,3,Irma Homais,
Italie,LOC,2,?,
jardins d ' Yonville,LOC,1,?,
Jean-Antoine d ' Andervilliers d ' Yverbonville,PER,1,Jean-Antoine-Henry-Guy d’Andervilliers de la Vaubyessard,
Jean-Antoine-Henry-Guy d ' Andervilliers de la Vaubyessard,PER,1,Jean-Antoine-Henry-Guy d’Andervilliers de la Vaubyessard,
Jeanne d ' Arc,PER,1,Jeanne d’Arc,
Jésus,PER,1,Jésus Christ,
Jésus-Christ,PER,1,Jésus Christ,
juifs portugais,MISC,1,?,
Justin,PER,37,Justin,
l ' abbé Bournisien,PER,2,Abbé Bournisien,
L ' abbé Bournisien,PER,1,Abbé Bournisien,
l ' abbé Frayssinous,PER,1,Abbé Frayssinous,
l ' Académie,ORG,1,?,
l ' Allée,LOC,1,?,
l ' Allemande,MISC,1,?,
l ' Andelle,LOC,1,?,
l ' arrondissement de Neufchâtel,LOC,1,?,
l ' auberge du Lion d ' or,LOC,1,?,
l ' Aveugle,PER,3,l’Aveugle,
L ' Aveugle,PER,5,l’Aveugle,
l ' Eau-de-Robec,LOC,1,?,
l ' Église,ORG,2,?,
l ' État,ORG,3,?,
l ' Éternel,PER,1,Dieu,
l ' Être suprême,PER,1,Dieu,
l ' Europe,LOC,3,?,
l ' Hirondelle,MISC,1,?,
l ' Homme-Dieu,PER,1,Dieu,
l ' hôpital de Neufchâtel,LOC,1,?,
l ' Hôtel de Boulogne,LOC,5,?,
l ' hôtel de la Croix-Rouge,LOC,1,?,
l ' hôtel de Provence,LOC,1,?,
l ' hôtel du Lion d ' or,LOC,1,?,
l ' Hôtel-Dieu,LOC,1,?,
l ' Île-de-France,LOC,1,?,
l ' illustre ténor Lagardy,PER,1,Ténor Lagardy,
l ' Italienne,MISC,1,?,
l ' Océan,MISC,2,?,
l ' Ordre,ORG,1,?,
la Barbe d ' or,LOC,1,?,
la basse Vieille-Tour,LOC,1,?,
la Boissière,LOC,1,?,
la Capitale,LOC,1,?,
la chapelle de la Vierge,LOC,2,?,
la chapelle de Vassonville,LOC,1,?,
la Chaumière,LOC,1,?,
la Chine,LOC,1,?,
la côte d ' Argueil,LOC,2,?,
la côte de Deville,LOC,1,?,
la côte des Leux,LOC,2,?,
la côte du Bois-Guillaume,LOC,3,?,
la côte Saint-Jean,LOC,3,?,
la côte Sainte-Catherine,LOC,1,?,
la Cour,ORG,2,?,
la cour des Bertaux,LOC,1,?,
la Croix-Rouge,LOC,8,?,
la Douane,LOC,1,?,
la Esméralda,MISC,1,?,
la famille Homais,PER,2,Famille Homais,
La famille Lormeaux,PER,1,Famille Lormeaux,
la ferme des Bertaux,LOC,1,?,
la foire Saint-Romain,LOC,1,?,
la forêt d ' Argueil,LOC,2,?,
la Française,MISC,1,?,
la France,LOC,2,?,
La garde nationale de Buchy,ORG,1,?,
la Gargouille,MISC,1,?,
la grande pyramide d ' Égypte,LOC,1,?,
la Grande-Chaussée,LOC,1,?,
la Grande-Rue,LOC,2,?,
la Guérine,PER,1,Guérine,
la guimbarde du Lion d ' or,LOC,1,?,
la hétraie de Banneville,LOC,1,?,
la Hougue-Saint-Vaast,LOC,1,?,
la Huchette,LOC,7,?,
La Huchette,LOC,1,?,
la maison Tuvache,PER,1,Famille Tuvache,
la Marianne,PER,1,Marianne,
la mère Bovary,PER,7,Madame Bovary senior,
La mère Bovary,PER,1,Madame Bovary senior,
la mère Lefrançois,PER,11,Madame Lefrançois,
La mère Lefrançois,PER,2,Madame Lefrançois,
la mère Rolet,PER,5,Madame Rolet,
La mère Rolet,PER,2,Madame Rolet,
la mère Tuvache,PER,1,Madame Tuvache,
la Miséricorde,LOC,1,?,
la Normandie,LOC,1,?,
la Pâture,LOC,2,?,
la petite Berthe,PER,1,Berthe Bovary,
la petite Bovary,PER,1,Berthe Bovary,
la Picardie,LOC,2,?,
la Place,LOC,1,?,
la Place,MISC,1,?,
la place Beauvoisine,LOC,1,?,
la place Cauchoise,LOC,1,?,
la place d ' Armes,LOC,1,?,
la place des Arts,LOC,1,?,
la place du Champ-de-Mars,LOC,1,?,
la place du Parvis,LOC,1,?,
la plage de Biarritz,LOC,1,?,
la Pologne,LOC,1,?,
la Putiphar,MISC,1,?,
la reine Marie-Antoinette,PER,1,Marie-Antoinette,
la Rieule,LOC,1,?,
la Rouge-Mare,LOC,1,?,
la route d ' Abbeville,LOC,2,?,
la route de Gênes,LOC,1,?,
la rue d ' Elbeuf,LOC,1,?,
la rue des Charrettes,LOC,1,?,
la rue des Quatre-Vents,LOC,1,?,
la rue Ganterie,LOC,1,?,
la rue Grand-Pont,LOC,2,?,
la rue Nationale,LOC,1,?,
la rue Saint-François,LOC,1,?,
la Sachette,PER,1,Sachette,
la Saint-Barthélemy,MISC,1,?,
la Saint-Michel,MISC,1,?,
la Saint-Pierre,MISC,1,?,
la Sainte Famille,MISC,1,?,
la sainte Vierge,PER,2,Marie de Nazareth,
la Seine,LOC,1,?,
la Seine-Inférieure,LOC,2,?,
la Société agronomique de Rouen,ORG,1,?,
la Société d ' agriculture,ORG,1,?,
la statue de Pierre Corneille,LOC,1,?,
la tour de Nesle,LOC,1,?,
la Tour de Nesle,LOC,1,?,
la Trafalgar,LOC,1,?,
la Vallière,PER,1,Louise de La Vallière,
la Vaubyessard,LOC,10,?,
la veuve Dubuc,PER,1,Héloïse Dubuc,
la Vierge,PER,5,Marie de Nazareth,
Lagardy,PER,5,Ténor Lagardy,
Langlois,PER,3,Monsieur Langlois,
le Bas-Diauville,LOC,1,?,
le bonhomme Rouault,PER,1,Théodore Rouault,
le boulevard Bouvreuil,LOC,1,?,
le boulevard Cauchoise,LOC,1,?,
le Café français,LOC,1,?,
le capitaine Binet,PER,1,Monsieur Binet,
le carrefour La Fayette,LOC,1,?,
le chien Fidèle,PER,1,chien Fidèle,
le cimetière des Bertaux,LOC,1,?,
le Colisée,LOC,1,?,
le commerce d ' Yonville,LOC,1,?,
le Conseiller,PER,2,Monsieur Lieuvain,
le Cours,MISC,1,?,
le Dieu,MISC,1,?,
le Dieu,PER,1,Dieu,
le docteur Canivet,PER,2,Docteur Canivet,
le docteur Larivière,PER,3,Docteur Larivière,
le duc de Clarence,PER,1,"George Plantagenet, duc de Clarence",
le jardin de Tostes,LOC,1,?,
le jardin des plantes,LOC,1,?,
le Lion d ' or,LOC,2,?,
le marquis d ' Andervilliers,PER,2,Jean-Antoine-Henry-Guy d’Andervilliers de la Vaubyessard,
le marquis de Conflans,PER,1,Marquis de Conflans,
le Mont-Riboudet,LOC,1,?,
le nègre Domingo,PER,1,Domingo,
le parvis Notre-Dame,LOC,1,?,
le passage Saint-Herbland,LOC,1,?,
le père Bovary,PER,1,Charles Denis Bartolomé Bovary,
le père Rouault,PER,16,Théodore Rouault,
Le père Rouault,PER,8,Théodore Rouault,
le père Tellier,PER,1,Monsieur Tellier,
le plateau du pays de Caux,LOC,1,?,
le pont Neuf,LOC,1,?,
le Proviseur,PER,1,le Proviseur,
Le Proviseur,PER,1,le Proviseur,
le quai aux Meules,LOC,1,?,
le quai des Curandiers,LOC,1,?,
le quai Napoléon,LOC,1,?,
le quartier Latin,LOC,1,?,
le Roi David,MISC,1,?,
le Seigneur,PER,1,Dieu,
le sieur Bovary père,PER,1,Charles Denis Bartolomé Bovary,
le sieur Canivet,PER,1,Docteur Canivet,
Le suisse,MISC,2,?,
le suisse,MISC,4,?,
le Suisse,MISC,1,?,
Le suisse,PER,1,Léon Dupuis,
le théâtre de Rouen,LOC,1,?,
le Vésuve,LOC,1,?,
Lehérissé,PER,1,Monsieur Leherisse,
Léocadie,PER,1,Berthe Bovary,
Léon,PER,124,Léon Dupuis,
les Bertaux,LOC,2,?,
les Bertaux,PER,1,Famille Bertaux,
les Cassines,LOC,1,?,
les époux Bovary,PER,2,Emma et Charles Bovary,
les Flandres,LOC,1,?,
les hauteurs de Thibourville,LOC,1,?,
les Homais,PER,1,Famille Homais,
les Italiens,MISC,1,?,
les jésuites,MISC,1,?,
les négresses,MISC,1,?,
les petits Homais,PER,1,les petits Homais,
Les petits Homais,PER,2,les petits Homais,
les Rois,PER,1,les Rois,
les terrains du Havre,LOC,1,?,
les tourbières de Grumesnil,LOC,2,?,
les Ursulines,ORG,1,?,
les Yonvillais,MISC,1,?,
Lescure,LOC,1,?,
Lestiboudois,PER,16,Monsieur Lestiboudois,
Lheureux,PER,36,Monsieur Lheureux,
Lieuvain,PER,1,Monsieur Lieuvain,
Longuemarre,PER,1,Longuemarre,
Longueville,LOC,1,?,
Louis de Brézé,PER,1,Louis de Brézé,
Louis XI,PER,1,Louis XI de France,
Louis XIII,PER,1,Louis XIII de France,
Louis XIV,PER,1,Louis XIV de France,
Louisa,PER,1,Berthe Bovary,
Loyola,LOC,1,?,
Lucie,PER,7,Lucia Ashton,
Lucie de Lamermoor,PER,1,Lucie de Lamermoor,
Lutzen,LOC,1,?,
Luxembourg,LOC,1,?,
Lyon,LOC,1,?,
M. Alexandre,PER,1,Monsieur Alexandre,
M. Bain,PER,1,Monsieur Bain,
M. Belot,PER,1,Monsieur Belot,
M. Binet,PER,8,Monsieur Binet,
M. Bizet,PER,1,Monsieur Bizet,
M. Boulanger,PER,8,Rodolphe Boulanger,
M. Boulard,PER,1,Monsieur Boulard,
M. Bournisien,PER,13,Abbé Bournisien,
M. Bovary,PER,16,Charles Bovary,
M. Bovary père,PER,5,M. Charles-Denis-Bartholomé Bovary,
M. Canivet,PER,10,Docteur Canivet,
M. Caron,PER,1,Monsieur Caron,
M. Charles-Denis-Bartholomé Bovary,PER,1,M. Charles-Denis-Bartholomé Bovary,
M. de * * *,MISC,1,?,
M. de Maistre,PER,1,Monsieur de Maistre,
M. Derozerays,PER,6,Monsieur Derozerays de la Panville,
M. Derozerays de la Panville,PER,1,Monsieur Derozerays de la Panville,
M. et Mme Bovary,PER,4,Emma et Charles Bovary,
M. et Mme Charles,PER,1,Emma et Charles Bovary,
M. Guillaumin,PER,9,Monsieur Guillaumin,
M. Homais,PER,45,Monsieur Homais,
M. Langlois,PER,1,Monsieur Langlois,
M. Larivière,PER,3,Docteur Larivière,
M. Léon,PER,13,Léon Dupuis,
M. Léon Dupuis,PER,2,Léon Dupuis,
M. Leplichey,PER,1,Monsieur Leplichey,
M. Lheureux,PER,25,Monsieur Lheureux,
M. Liégeard,PER,1,Monsieur Liegeard,
M. Lieuvain,PER,4,Monsieur Lieuvain,
M. Lormeaux,PER,2,Monsieur Lormeaux,
M. Rodolphe,PER,3,Rodolphe Boulanger,
M. Rodolphe Boulanger,PER,2,Rodolphe Boulanger,
M. Rouault,PER,4,Théodore Rouault,
M. Tuvache,PER,6,Monsieur Tuvache,
M. un tel,MISC,1,?,
M. Vinçart,PER,3,Monsieur Vincart,
madame Bovary,PER,5,Emma Bovary,
Madame Bovary,PER,1,Emma Bovary,
madame Lefrançois,PER,5,Madame Lefrançois,
Madeleine,PER,1,Berthe Bovary,
mademoiselle de La Vallière,PER,1,Louise de La Vallière,
maître Dubocage,PER,1,Maître Dubocage,
Maître Guillaumin,PER,1,Monsieur Guillaumin,
Maître Hareng,PER,1,Maître Hareng,
maître Hareng,PER,1,Maître Hareng,
Maître Rouault,PER,1,Théodore Rouault,
Marie,MISC,1,?,
Marie,PER,1,Marie de Nazareth,
Marie Stuart,PER,1,Marie Stuart,
Maromme,LOC,2,?,
Marseille,LOC,1,?,
Me Guillaumin,PER,1,Monsieur Guillaumin,
Me Hareng,PER,2,Maître Hareng,
Mère Rolet,PER,1,Madame Rolet,
mère Rollet,PER,2,Madame Rolet,
Minerve,PER,1,Minerve,
Miss Arabelle,PER,1,cheval Miss Arabelle,
Mlle Bovary,PER,1,Emma Bovary,
Mlle d ' Andervilliers,PER,2,Mademoiselle d'Andervilliers,
Mlle Emma,PER,3,Emma Bovary,
Mlle Lempereur,PER,4,Félicie Lempereur,
Mlle Léocadie Leboeuf,PER,1,Léocardie Leboeuf,
Mlle Rouault,PER,4,Emma Bovary,
Mme Bovary,PER,78,Emma Bovary,
Mme Bovary jeune,PER,2,Berthe Bovary,
Mme Bovary mère,PER,15,Emma Bovary,
Mme Caron,PER,4,Madame Caron,
Mme Dubreuil,PER,3,Madame Dubreuil,
Mme Dubuc,PER,2,Héloïse Dubuc,
Mme Homais,PER,29,Madame Homais,
Mme Langlois,PER,1,Madame Langlois,
Mme Lefrançois,PER,14,Madame Lefrançois,
Mme Liégeard,PER,2,Madame Liegeard,
Mme Tuvache,PER,9,Madame Tuvache,
Mme veuve Dupuis,PER,1,Madame Dupuis,
Mme veuve Lefrançois,PER,2,Madame Lefrançois,
mon Dieu,PER,12,Dieu,
Mon Dieu,PER,2,Dieu,
mon Riboudet,PER,1,Boudet junior,
monsieur Binet,PER,1,Monsieur Binet,
monsieur Boulanger,PER,1,Rodolphe Boulanger,
monsieur Bournisien,PER,1,Abbé Bournisien,
monsieur Bovary,PER,2,Charles Bovary,
monsieur Homais,PER,3,Monsieur Homais,
Monsieur Léon,PER,1,Léon Dupuis,
monsieur Lheureux,PER,2,Monsieur Lheureux,
Monsieur Roger,PER,1,Monsieur Roger,
Mont-Riboudet,LOC,1,?,
Montlhéry,LOC,1,?,
Morel,PER,1,Morel,
Nanette,PER,1,Nanette,
Napoléon,PER,7,Napoléon Bonaparte,
Nastasie,PER,5,Nastasie,
Neufchâtel,LOC,7,?,
Nicolas,PER,1,Maître Nicolas,
Normand,MISC,1,?,
Normandie,LOC,2,?,
Normands,MISC,1,?,
Normanville,LOC,1,?,
Notre Père,PER,1,Dieu,
Notre-Dame,LOC,1,?,
Notre-Dame de Paris,MISC,1,?,
Opéra,MISC,3,?,
Oyssel,LOC,1,?,
Paris,LOC,23,?,
Paul,PER,1,Paul (de Paul et Virginie),
Père Rouault,PER,1,Théodore Rouault,
père Rouault,PER,1,Théodore Rouault,
père Tellier,PER,1,Monsieur Tellier,
Persiani,PER,1,Fanny Persiani,
Pierre de Brézé,PER,1,Pierre de Brézé,
place du Gaillardbois,LOC,1,?,
Polyte,PER,1,Hippolyte Tautain,
Pomard,LOC,1,?,
Pompadour,MISC,1,?,
Pompadour,PER,1,"Jeanne-Antoinette Poisson, Marquise de Pompadour",
Pulvermacher,MISC,1,?,
Pythagore,PER,1,Pythagore,
Quatremares,LOC,1,?,
Quincampoix,LOC,5,?,
R,PER,1,Rodolphe Boulanger,
Racine,PER,1,Jean Racine,
Raspail,PER,1,François-Vincent Raspail,
Réaumur,PER,1,René-Antoine Ferchault de Réaumur,
Regnault,PER,1,Henri Victor Regnault,
Reims,LOC,1,?,
reines-Claude,PER,1,"Claude de France, dite la bonne reine",
Riboudet,PER,2,Boudet junior,
Richard Coeur de lion,PER,1,Richard Ier d’Angleterre,
Rodolphe,PER,124,Rodolphe Boulanger,
roi d ' Angleterre,PER,1,Richard Ier d’Angleterre,
Rollet,PER,1,Monsieur Rolet,
Romulus,PER,1,cheval Romulus,
Rouen,LOC,56,?,
Rousseau,PER,2,Jean-Jacques Rousseau,
Routot,LOC,1,?,
Rubini,PER,1,Giovanni Battista Rubini,
rue de la Comédie,LOC,1,?,
rue de la Renelle-des-Maroquiniers,LOC,1,?,
rue Dinanderie,LOC,1,?,
rue Maladrerie,LOC,1,?,
rue Malpalu,LOC,2,?,
rue Massacre,LOC,1,?,
Russie,LOC,1,?,
saint Louis,PER,1,Louis IX de France,
saint Paul,PER,1,Saint Paul,
Saint-Barthélemy,MISC,1,?,
Saint-Maclou,LOC,1,?,
Saint-Nicaise,LOC,1,?,
Saint-Pierre,LOC,1,?,
Saint-Pol,LOC,1,?,
Saint-Romain,LOC,1,?,
Saint-Romain,MISC,1,?,
Saint-Sever,LOC,1,?,
Saint-Victor,LOC,3,?,
Saint-Vivien,LOC,1,?,
Sainte-Catherine,LOC,1,?,
Sarrasins,MISC,1,?,
Sassetot-la-Guerrière,LOC,1,?,
Savoie,LOC,1,?,
Schopin,PER,1,Henri Frédéric Schopin,
seigneur de Breval et de Montchauvet,PER,1,Louis de Brézé,
seigneur de la Varenne et de Brissac,PER,1,Pierre de Brézé,
Seltz,LOC,4,?,
Socrate,PER,1,Socrate,
Sotteville,LOC,1,?,
Steuben,PER,1,Charles de Steuben,
Strasbourg,LOC,1,?,
Suisse,LOC,1,?,
Tamburini,PER,1,Antonio Tamburini,
Tellier,PER,2,Monsieur Tellier,
Théodore,PER,5,Théodore Rouault,
Théodore Rouault,PER,1,Théodore Rouault,
Thomassin,PER,1,Thomassin,
Tivoli,LOC,1,?,
Tostes,LOC,23,?,
Tuvache,PER,8,Monsieur Tuvache,
Tyroliens,MISC,1,?,
un Algérien,MISC,1,?,
un Arabe,MISC,1,?,
un Créateur,PER,1,Dieu,
un Mathieu Laensberg,MISC,1,?,
un nègre,MISC,1,?,
un petit Cupidon,MISC,1,?,
un Scythe,MISC,1,?,
un steppe de Russie,MISC,1,?,
une Babylone,LOC,1,?,
une Muse,MISC,1,?,
une Parisienne,MISC,2,?,
une Rouennaise,MISC,1,?,
Vassonville,LOC,2,?,
Vaufrilard,PER,1,Vaufrilard,
Venise,LOC,1,?,
Vesta,MISC,1,?,
Vichy,LOC,1,?,
Vienne,LOC,1,?,
Vinçart,PER,10,Monsieur Vincart,
Virginie,PER,2,Virginie,
Voltaire,MISC,1,?,
Voltaire,PER,6,"François-Marie Arouet, dit Voltaire",
votre Dieu,PER,1,Dieu,
Walter Scott,PER,3,Walter Scott,
Yanoda,PER,1,Yanoda,
Yonville,LOC,57,?,
Yonville-l ' Abbaye,LOC,3,?,
Yonville-L ' Abbaye,LOC,1,?,
Yseult,PER,1,Berthe Bovary,
Yvetot,LOC,5,?,
